id;nome;cpf;data_nascimento;matricula;tipo_vinculo;foto;foto_content_type
1;holistic Architect;blue Rubber;2021-01-28;European Unit of Account 9(E.U.A.-9) New Jersey explicit;OUTROS;../fake-data/blob/hipster.png;image/png
2;Run invoice CSS;Steel e-commerce Kids;2021-01-29;Buckinghamshire neural-net back-end;SERVIDOR;../fake-data/blob/hipster.png;image/png
3;Granite;fuchsia Web;2021-01-29;Pataca mobile reboot;ESTAGIARIO;../fake-data/blob/hipster.png;image/png
4;Sports;Senior International;2021-01-28;Bangladesh neural;ESTAGIARIO;../fake-data/blob/hipster.png;image/png
5;Persistent Multi-tiered;Norway;2021-01-28;channels archive;ESTAGIARIO;../fake-data/blob/hipster.png;image/png
6;Computers Avon Borders;Front-line cultivate Burkina Faso;2021-01-29;Port Manager innovative;MEMBRO;../fake-data/blob/hipster.png;image/png
7;extend Cheese;process improvement payment motivating;2021-01-28;generating;MEMBRO;../fake-data/blob/hipster.png;image/png
8;bus array;Avon Electronics;2021-01-29;purple;ESTAGIARIO;../fake-data/blob/hipster.png;image/png
9;hacking azure;solution Infrastructure;2021-01-28;Refined Fresh Sausages programming Checking Account;MEMBRO;../fake-data/blob/hipster.png;image/png
10;Money Market Account Colorado Minnesota;capacitor;2021-01-28;e-tailers;MEMBRO;../fake-data/blob/hipster.png;image/png
